Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-33.4981,-70.6077,-4,579
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2007,1,1,0,0,0.0,0.0,0.0,18.9,18.9,68.5,NaN,0.5,213.0,0
2007,1,1,1,0,0.0,0.0,0.0,18.1,18.1,65.0,NaN,0.5,240.0,0
2007,1,1,2,0,0.0,0.0,0.0,17.7,17.7,79.1,NaN,0.4,319.5,0
2007,1,1,3,0,0.0,0.0,0.0,16.5,16.5,81.8,NaN,0.3,303.0,0
2007,1,1,4,0,0.0,0.0,0.0,15.4,15.4,85.1,NaN,0.2,307.5,0
2007,1,1,5,0,0.0,0.0,0.0,14.4,14.4,86.4,NaN,0.2,277.5,0
2007,1,1,6,0,17.5,0.0,17.5,13.5,13.5,92.9,NaN,0.2,289.5,0
2007,1,1,7,0,243.3,743.6,47.6,14.4,14.4,93.9,NaN,0.3,252.0,0
2007,1,1,8,0,466.5,869.5,66.7,16.6,16.6,89.6,NaN,0.4,255.0,0
2007,1,1,9,0,677.4,931.3,81.6,19.3,19.3,74.8,NaN,0.8,262.5,0
2007,1,1,10,0,857.7,966.6,93.3,22.4,22.4,63.8,NaN,1.3,259.5,0
2007,1,1,11,0,993.2,987.6,101.7,25.3,25.3,60.2,NaN,1.7,252.0,0
2007,1,1,12,0,1069.2,994.8,106.3,27.3,27.3,45.4,NaN,2.1,241.5,0
2007,1,1,13,0,1083.7,994.6,107.2,28.8,28.8,44.1,NaN,2.7,235.5,0
2007,1,1,14,0,1035.6,987.1,104.3,30.1,30.1,43.2,NaN,3.0,234.0,0
2007,1,1,15,0,930.0,972.5,97.8,29.0,29.0,38.1,NaN,3.1,229.5,0
2007,1,1,16,0,773.4,946.6,87.8,28.4,28.4,36.2,NaN,3.1,228.0,0
2007,1,1,17,0,578.1,901.9,74.7,27.5,27.5,36.3,NaN,3.0,229.5,0
2007,1,1,18,0,359.1,816.3,58.1,25.9,25.9,38.3,NaN,2.7,228.0,0
2007,1,1,19,0,140.9,621.7,35.9,24.3,24.3,42.6,NaN,1.8,228.0,0
2007,1,1,20,0,0.0,0.0,0.0,22.4,22.4,46.5,NaN,1.2,226.5,0
2007,1,1,21,0,0.0,0.0,0.0,20.9,20.9,54.5,NaN,0.6,225.0,0
