**************************************************
CONSULTA
**************************************************
DATOS GENERADOS POR EL EXPLORADOR DE ENERGIAS RENOVABLES
Fuente:Ministerio de Energia - Departamento de Geofisica Universidad de Chile
""
Hora de creacion del archivo:,2022-11-04 10:35:30.837576
""
Tipo de consulta:,SERIES
Periodo Extraidos:,2010-01-01 00:00:00,2016-12-31 23:00:00
Intervalo:,hour
Tipical Meteorological Year:,SI,Se ha generado datos para un agno tipico (nominalmente 1990)
""
Numero de sitios solicitados:,1
Numero de variables solicitadas:,3
**************************************************
SITIOS
**************************************************
Nombre,Longitud,Latitud,Altura Terreno (m)
S1,-70.66209250663925,-33.44859957333846,548.0
**************************************************
VARIABLES
**************************************************
GHI
Nombre,Radiacion Global Horizontal
Unidades,W/m2
Estadistica,mean
clearsky,False
band,full
fill_missing,False
horizon_smoothing,1
""
GHI
Nombre,Radiacion Global Horizontal
Unidades,W/m2
Estadistica,mean
clearsky,False
band,full
fill_missing,False
horizon_smoothing,1
""
GLB
Nombre,Radiacion Global
Unidades,W/m2
Estadistica,mean
clearsky,False
band,full
fill_missing,False
horizon_smoothing,1
elev2,0
elev1,99
azimuth,0
hsatmax,45
optimize_on_rglb,False
type,tilt
optimize,False
""
**************************************************
DATOS
**************************************************
Sitio:,S1,S1,S1
Variable:,GHI,GHI,GLB
""
FECHA
2017-01-01 00:00:00,0.0,0.0,0.0
2017-01-01 01:00:00,0.0,0.0,0.0
2017-01-01 02:00:00,0.0,0.0,0.0
2017-01-01 03:00:00,0.0,0.0,0.0
2017-01-01 04:00:00,0.0,0.0,0.0
2017-01-01 05:00:00,0.0,0.0,0.0
2017-01-01 06:00:00,16.88,16.88,15.81765
2017-01-01 07:00:00,247.84,247.84,90.83594
2017-01-01 08:00:00,475.14001,475.14001,330.24965
2017-01-01 09:00:00,688.06,688.06,570.52067
2017-01-01 10:00:00,869.20001,869.20001,779.63335
2017-01-01 11:00:00,1004.20001,1004.20001,937.11819
2017-01-01 12:00:00,1077.69995,1077.69995,1024.51647
2017-01-01 13:00:00,1089.62,1089.62,1039.73121
2017-01-01 14:00:00,1039.35999,1039.35999,981.93848
2017-01-01 15:00:00,932.35999,932.35999,857.57341
2017-01-01 16:00:00,775.0,775.0,675.59895
2017-01-01 17:00:00,578.76001,578.76001,452.07648
2017-01-01 18:00:00,361.20001,361.20001,212.68712
2017-01-01 19:00:00,142.58,142.58,35.7975
2017-01-01 20:00:00,0.0,0.0,0.0
2017-01-01 21:00:00,0.0,0.0,0.0
2017-01-01 22:00:00,0.0,0.0,0.0
2017-01-01 23:00:00,0.0,0.0,0.0
2017-01-02 00:00:00,0.0,0.0,0.0
2017-01-02 01:00:00,0.0,0.0,0.0
2017-01-02 02:00:00,0.0,0.0,0.0
2017-01-02 03:00:00,0.0,0.0,0.0
2017-01-02 04:00:00,0.0,0.0,0.0
2017-01-02 05:00:00,0.0,0.0,0.0
2017-01-02 06:00:00,16.16,16.16,15.14296
2017-01-02 07:00:00,240.56,240.56,87.66966
2017-01-02 08:00:00,464.66,464.66,323.00049
2017-01-02 09:00:00,677.20001,677.20001,561.75908
2017-01-02 10:00:00,859.34003,859.34003,771.24432
2017-01-02 11:00:00,996.28003,996.28003,930.40725
2017-01-02 12:00:00,1072.95996,1072.95996,1020.82831
