**************************************************
CONSULTA
**************************************************
DATOS GENERADOS POR EL EXPLORADOR DE ENERGIAS RENOVABLES
Fuente:Ministerio de Energia - Departamento de Geofisica Universidad de Chile
""
Hora de creacion del archivo:,2023-05-28 23:32:32.707912
""
Tipo de consulta:,SERIES
Periodo Extraidos:,2010-01-01 00:00:00,2016-12-31 23:00:00
Intervalo:,hour
Tipical Meteorological Year:,SI,Se ha generado datos para un agno tipico (nominalmente 1990)
""
Numero de sitios solicitados:,1
Numero de variables solicitadas:,2
**************************************************
SITIOS
**************************************************
Nombre,Longitud,Latitud,Altura Terreno (m)
S1,-70.66,-33.39,522.0
**************************************************
VARIABLES
**************************************************
Temp
Nombre,Temperatura en 2 metros (Corejida)
Unidades,C
Estadistica,mean
recon,on
""
GHI
Nombre,Radiacion Global Horizontal
Unidades,W/m2
Estadistica,mean
clearsky,False
band,full
fill_missing,False
horizon_smoothing,1
""
**************************************************
DATOS
**************************************************
Sitio:,S1,S1
Variable:,Temp,GHI
""
FECHA
2017-01-01 00:00:00,14.988,0.0
2017-01-01 01:00:00,14.356,0.0
2017-01-01 02:00:00,14.05,0.0
2017-01-01 03:00:00,13.778,0.0
2017-01-01 04:00:00,13.398,0.0
2017-01-01 05:00:00,12.62,0.0
2017-01-01 06:00:00,12.276,16.66
2017-01-01 07:00:00,14.076,240.46001
2017-01-01 08:00:00,17.114,462.73999
2017-01-01 09:00:00,19.57,673.02002
2017-01-01 10:00:00,22.834,852.70001
2017-01-01 11:00:00,25.768,987.20001
2017-01-01 12:00:00,28.112,1065.26001
2017-01-01 13:00:00,29.728,1081.80005
2017-01-01 14:00:00,30.914,1035.64001
2017-01-01 15:00:00,30.568,930.34003
2017-01-01 16:00:00,29.888,774.08002
2017-01-01 17:00:00,28.924,578.65997
2017-01-01 18:00:00,27.72,358.73999
2017-01-01 19:00:00,25.994,140.06
2017-01-01 20:00:00,23.776,0.0
2017-01-01 21:00:00,22.174,0.0
2017-01-01 22:00:00,20.866,0.0
2017-01-01 23:00:00,19.708,0.0
2017-01-02 00:00:00,18.466,0.0
2017-01-02 01:00:00,17.488,0.0
2017-01-02 02:00:00,16.798,0.0
2017-01-02 03:00:00,16.146,0.0
2017-01-02 04:00:00,15.414,0.0
2017-01-02 05:00:00,14.704,0.0
2017-01-02 06:00:00,16.01,16.14
2017-01-02 07:00:00,17.586,240.06
2017-01-02 08:00:00,20.958,462.89999
2017-01-02 09:00:00,24.618,672.65997
2017-01-02 10:00:00,28.272,851.17999
2017-01-02 11:00:00,31.208,984.20001
2017-01-02 12:00:00,33.47,1061.28003
2017-01-02 13:00:00,34.97,1077.12
2017-01-02 14:00:00,34.456,1030.23999
2017-01-02 15:00:00,33.766,926.97998
2017-01-02 16:00:00,32.46,772.35999
2017-01-02 17:00:00,31.03,578.41998
2017-01-02 18:00:00,29.384,361.23999
2017-01-02 19:00:00,26.874,142.67999
2017-01-02 20:00:00,24.296,0.0
2017-01-02 21:00:00,22.466,0.0
2017-01-02 22:00:00,21.286,0.0
2017-01-02 23:00:00,19.952,0.0
2017-01-03 00:00:00,18.832,0.0
2017-01-03 01:00:00,17.854,0.0
2017-01-03 02:00:00,16.784,0.0
2017-01-03 03:00:00,15.68,0.0
2017-01-03 04:00:00,14.64,0.0
2017-01-03 05:00:00,13.66,0.0
2017-01-03 06:00:00,13.192,15.54
2017-01-03 07:00:00,14.736,235.24001
2017-01-03 08:00:00,17.692,456.85999
2017-01-03 09:00:00,19.798,667.71997
2017-01-03 10:00:00,22.556,848.47998
2017-01-03 11:00:00,24.838,984.41998
2017-01-03 12:00:00,26.588,1062.68005
2017-01-03 13:00:00,27.324,1079.5
2017-01-03 14:00:00,27.808,1033.62
2017-01-03 15:00:00,27.38,930.08002
2017-01-03 16:00:00,26.782,775.06
2017-01-03 17:00:00,26.022,580.67999
2017-01-03 18:00:00,24.924,362.26001
2017-01-03 19:00:00,22.856,143.08
2017-01-03 20:00:00,20.364,0.0
2017-01-03 21:00:00,18.624,0.0
2017-01-03 22:00:00,17.28,0.0
2017-01-03 23:00:00,16.304,0.0
2017-01-04 00:00:00,15.652,0.0
2017-01-04 01:00:00,15.012,0.0
2017-01-04 02:00:00,14.542,0.0
2017-01-04 03:00:00,14.164,0.0
2017-01-04 04:00:00,13.46,0.0
2017-01-04 05:00:00,12.738,0.0
2017-01-04 06:00:00,13.208,15.26
2017-01-04 07:00:00,13.746,238.38
2017-01-04 08:00:00,16.744,464.92001
2017-01-04 09:00:00,19.444,677.53998
2017-01-04 10:00:00,22.14,858.65997
2017-01-04 11:00:00,24.88,994.09998
2017-01-04 12:00:00,26.808,1073.35999
2017-01-04 13:00:00,27.812,1090.59998
2017-01-04 14:00:00,28.556,1044.71997
2017-01-04 15:00:00,27.998,939.23999
2017-01-04 16:00:00,27.176,782.21997
2017-01-04 17:00:00,26.38,585.76001
2017-01-04 18:00:00,25.104,365.72
2017-01-04 19:00:00,23.36,144.98
2017-01-04 20:00:00,21.03,0.0
2017-01-04 21:00:00,19.562,0.0
2017-01-04 22:00:00,18.53,0.0
2017-01-04 23:00:00,17.752,0.0
2017-01-05 00:00:00,17.034,0.0
2017-01-05 01:00:00,16.574,0.0
2017-01-05 02:00:00,15.998,0.0
2017-01-05 03:00:00,15.474,0.0
2017-01-05 04:00:00,14.882,0.0
2017-01-05 05:00:00,14.402,0.0
2017-01-05 06:00:00,13.846,14.62
2017-01-05 07:00:00,14.806,235.02
2017-01-05 08:00:00,17.324,460.73999
2017-01-05 09:00:00,20.104,673.65997
2017-01-05 10:00:00,22.792,855.73999
2017-01-05 11:00:00,25.192,992.06
2017-01-05 12:00:00,27.116,1071.54004
2017-01-05 13:00:00,28.458,1089.12
2017-01-05 14:00:00,29.676,1043.59998
2017-01-05 15:00:00,29.118,938.53998
2017-01-05 16:00:00,28.464,782.09998
2017-01-05 17:00:00,27.646,586.0
2017-01-05 18:00:00,26.41,366.95999
2017-01-05 19:00:00,24.756,146.16
2017-01-05 20:00:00,22.724,0.0
2017-01-05 21:00:00,21.452,0.0
2017-01-05 22:00:00,20.416,0.0
2017-01-05 23:00:00,19.846,0.0
2017-01-06 00:00:00,19.128,0.0
2017-01-06 01:00:00,18.464,0.0
2017-01-06 02:00:00,17.502,0.0
2017-01-06 03:00:00,16.59,0.0
2017-01-06 04:00:00,15.5,0.0
2017-01-06 05:00:00,14.27,0.0
2017-01-06 06:00:00,15.324,13.92
2017-01-06 07:00:00,16.16,235.84
2017-01-06 08:00:00,18.566,464.78
2017-01-06 09:00:00,21.674,679.17999
2017-01-06 10:00:00,24.474,861.76001
2017-01-06 11:00:00,27.352,998.35999
2017-01-06 12:00:00,29.094,1076.43994
2017-01-06 13:00:00,30.166,1092.45996
2017-01-06 14:00:00,30.89,1045.28003
2017-01-06 15:00:00,30.258,940.65997
2017-01-06 16:00:00,29.27,784.32001
2017-01-06 17:00:00,28.274,588.0
2017-01-06 18:00:00,27.058,367.92001
2017-01-06 19:00:00,25.196,146.46001
2017-01-06 20:00:00,23.036,0.0
2017-01-06 21:00:00,21.272,0.0
2017-01-06 22:00:00,20.114,0.0
2017-01-06 23:00:00,19.128,0.0
2017-01-07 00:00:00,18.05,0.0
2017-01-07 01:00:00,17.182,0.0
2017-01-07 02:00:00,16.378,0.0
2017-01-07 03:00:00,15.69,0.0
2017-01-07 04:00:00,15.084,0.0
2017-01-07 05:00:00,14.492,0.0
2017-01-07 06:00:00,15.48,13.18
2017-01-07 07:00:00,16.334,232.3
2017-01-07 08:00:00,19.23,460.39999
2017-01-07 09:00:00,21.678,676.64001
2017-01-07 10:00:00,24.248,862.17999
2017-01-07 11:00:00,27.084,1001.97998
2017-01-07 12:00:00,28.926,1083.56006
2017-01-07 13:00:00,29.848,1102.54004
2017-01-07 14:00:00,30.316,1057.54004
2017-01-07 15:00:00,29.838,951.09998
2017-01-07 16:00:00,29.19,792.58002
2017-01-07 17:00:00,28.246,594.08002
2017-01-07 18:00:00,26.952,372.06
2017-01-07 19:00:00,24.832,148.3
2017-01-07 20:00:00,22.616,0.0
2017-01-07 21:00:00,20.93,0.0
2017-01-07 22:00:00,19.55,0.0
2017-01-07 23:00:00,18.384,0.0
2017-01-08 00:00:00,17.342,0.0
2017-01-08 01:00:00,16.252,0.0
2017-01-08 02:00:00,15.576,0.0
2017-01-08 03:00:00,14.918,0.0
2017-01-08 04:00:00,14.058,0.0
2017-01-08 05:00:00,13.218,0.0
2017-01-08 06:00:00,14.5,12.42
2017-01-08 07:00:00,15.544,231.28
2017-01-08 08:00:00,18.908,460.76001
2017-01-08 09:00:00,21.946,678.58002
2017-01-08 10:00:00,24.924,865.38
2017-01-08 11:00:00,27.722,1006.56
2017-01-08 12:00:00,29.752,1085.30005
2017-01-08 13:00:00,30.686,1101.56006
2017-01-08 14:00:00,31.432,1054.40002
2017-01-08 15:00:00,30.854,949.08002
2017-01-08 16:00:00,30.168,791.82001
2017-01-08 17:00:00,29.13,593.96002
2017-01-08 18:00:00,27.896,372.51999
2017-01-08 19:00:00,25.74,148.8
2017-01-08 20:00:00,23.512,0.0
2017-01-08 21:00:00,21.52,0.0
2017-01-08 22:00:00,19.952,0.0
2017-01-08 23:00:00,18.526,0.0
2017-01-09 00:00:00,17.238,0.0
2017-01-09 01:00:00,16.13,0.0
2017-01-09 02:00:00,15.29,0.0
2017-01-09 03:00:00,14.548,0.0
2017-01-09 04:00:00,13.836,0.0
2017-01-09 05:00:00,13.284,0.0
2017-01-09 06:00:00,14.358,11.54
2017-01-09 07:00:00,15.66,227.75999
2017-01-09 08:00:00,18.336,456.85999
2017-01-09 09:00:00,21.404,675.03998
2017-01-09 10:00:00,24.302,862.53998
2017-01-09 11:00:00,27.282,1004.38
2017-01-09 12:00:00,29.888,1084.76001
2017-01-09 13:00:00,31.242,1102.43994
2017-01-09 14:00:00,32.054,1056.40002
2017-01-09 15:00:00,31.268,951.0
2017-01-09 16:00:00,30.334,793.41998
2017-01-09 17:00:00,29.206,595.20001
2017-01-09 18:00:00,27.74,373.84
2017-01-09 19:00:00,25.636,149.67999
2017-01-09 20:00:00,23.13,0.0
2017-01-09 21:00:00,21.454,0.0
2017-01-09 22:00:00,20.326,0.0
2017-01-09 23:00:00,19.2,0.0
2017-01-10 00:00:00,18.14,0.0
2017-01-10 01:00:00,16.994,0.0
2017-01-10 02:00:00,16.0,0.0
2017-01-10 03:00:00,15.048,0.0
2017-01-10 04:00:00,14.766,0.0
2017-01-10 05:00:00,14.08,0.0
2017-01-10 06:00:00,15.214,10.66
2017-01-10 07:00:00,16.816,218.82001
2017-01-10 08:00:00,18.938,443.38
2017-01-10 09:00:00,21.812,658.09998
2017-01-10 10:00:00,24.754,843.29999
2017-01-10 11:00:00,27.256,984.0
2017-01-10 12:00:00,29.334,1067.62
2017-01-10 13:00:00,30.494,1089.23999
2017-01-10 14:00:00,30.264,1047.12
2017-01-10 15:00:00,30.248,943.52002
2017-01-10 16:00:00,29.794,787.59998
2017-01-10 17:00:00,28.924,591.12
2017-01-10 18:00:00,27.938,372.16
2017-01-10 19:00:00,26.098,149.38
2017-01-10 20:00:00,24.09,0.0
2017-01-10 21:00:00,22.552,0.0
2017-01-10 22:00:00,21.652,0.0
2017-01-10 23:00:00,21.01,0.0
2017-01-11 00:00:00,20.36,0.0
2017-01-11 01:00:00,19.764,0.0
2017-01-11 02:00:00,18.904,0.0
2017-01-11 03:00:00,18.556,0.0
2017-01-11 04:00:00,18.766,0.0
2017-01-11 05:00:00,18.308,0.0
2017-01-11 06:00:00,18.128,9.94
2017-01-11 07:00:00,18.15,218.42
2017-01-11 08:00:00,19.914,445.54001
2017-01-11 09:00:00,21.676,661.97998
2017-01-11 10:00:00,23.772,848.32001
2017-01-11 11:00:00,25.238,989.64001
2017-01-11 12:00:00,26.064,1070.0
2017-01-11 13:00:00,26.444,1088.19995
2017-01-11 14:00:00,25.796,1043.04004
2017-01-11 15:00:00,24.41,938.32001
2017-01-11 16:00:00,23.14,781.96002
2017-01-11 17:00:00,21.372,585.73999
2017-01-11 18:00:00,19.53,367.76001
2017-01-11 19:00:00,17.246,146.72
2017-01-11 20:00:00,15.348,0.0
2017-01-11 21:00:00,14.442,0.0
2017-01-11 22:00:00,13.194,0.0
2017-01-11 23:00:00,12.068,0.0
2017-01-12 00:00:00,11.33,0.0
2017-01-12 01:00:00,10.84,0.0
2017-01-12 02:00:00,10.572,0.0
2017-01-12 03:00:00,10.808,0.0
2017-01-12 04:00:00,10.34,0.0
2017-01-12 05:00:00,10.502,0.0
2017-01-12 06:00:00,12.164,9.3
2017-01-12 07:00:00,13.806,224.53999
2017-01-12 08:00:00,16.144,457.06
2017-01-12 09:00:00,18.452,678.5
2017-01-12 10:00:00,21.452,868.53998
2017-01-12 11:00:00,24.032,1012.40002
2017-01-12 12:00:00,26.114,1097.23999
2017-01-12 13:00:00,27.676,1118.31995
2017-01-12 14:00:00,28.748,1074.5
2017-01-12 15:00:00,29.324,967.35999
2017-01-12 16:00:00,28.514,806.91998
2017-01-12 17:00:00,27.498,605.41998
2017-01-12 18:00:00,26.152,374.32001
2017-01-12 19:00:00,23.81,146.88
2017-01-12 20:00:00,21.49,0.0
2017-01-12 21:00:00,19.57,0.0
2017-01-12 22:00:00,17.936,0.0
2017-01-12 23:00:00,16.424,0.0
2017-01-13 00:00:00,15.208,0.0
2017-01-13 01:00:00,13.968,0.0
2017-01-13 02:00:00,13.106,0.0
2017-01-13 03:00:00,12.334,0.0
2017-01-13 04:00:00,11.708,0.0
2017-01-13 05:00:00,12.386,0.0
2017-01-13 06:00:00,13.67,8.28
2017-01-13 07:00:00,14.748,220.94
2017-01-13 08:00:00,17.618,454.34
2017-01-13 09:00:00,21.16,676.20001
2017-01-13 10:00:00,24.696,866.46002
2017-01-13 11:00:00,27.676,1010.64001
2017-01-13 12:00:00,29.922,1094.88
2017-01-13 13:00:00,31.404,1115.64001
2017-01-13 14:00:00,32.398,1071.43994
2017-01-13 15:00:00,31.668,966.5
2017-01-13 16:00:00,30.79,807.82001
2017-01-13 17:00:00,29.358,607.26001
2017-01-13 18:00:00,27.748,381.17999
2017-01-13 19:00:00,24.976,152.12
2017-01-13 20:00:00,22.67,0.0
2017-01-13 21:00:00,20.55,0.0
2017-01-13 22:00:00,18.442,0.0
2017-01-13 23:00:00,16.962,0.0
2017-01-14 00:00:00,15.668,0.0
2017-01-14 01:00:00,14.836,0.0
2017-01-14 02:00:00,14.19,0.0
2017-01-14 03:00:00,13.552,0.0
2017-01-14 04:00:00,14.294,0.0
2017-01-14 05:00:00,14.768,0.0
2017-01-14 06:00:00,15.822,7.22
2017-01-14 07:00:00,17.754,209.64
2017-01-14 08:00:00,20.698,436.38
2017-01-14 09:00:00,23.624,652.73999
2017-01-14 10:00:00,26.374,838.70001
2017-01-14 11:00:00,28.992,979.58002
2017-01-14 12:00:00,30.752,1063.95996
2017-01-14 13:00:00,32.056,1085.92004
2017-01-14 14:00:00,32.772,1044.12
2017-01-14 15:00:00,32.2,940.85999
2017-01-14 16:00:00,30.972,785.29999
2017-01-14 17:00:00,29.544,588.73999
2017-01-14 18:00:00,27.762,157.08
2017-01-14 19:00:00,25.05,149.25999
2017-01-14 20:00:00,22.296,0.0
2017-01-14 21:00:00,20.516,0.0
2017-01-14 22:00:00,18.914,0.0
2017-01-14 23:00:00,17.558,0.0
2017-01-15 00:00:00,16.314,0.0
2017-01-15 01:00:00,15.278,0.0
2017-01-15 02:00:00,14.366,0.0
2017-01-15 03:00:00,13.568,0.0
2017-01-15 04:00:00,14.3,0.0
2017-01-15 05:00:00,15.206,0.0
2017-01-15 06:00:00,16.048,6.2
2017-01-15 07:00:00,16.71,201.39999
2017-01-15 08:00:00,18.814,424.95999
2017-01-15 09:00:00,21.642,638.56
2017-01-15 10:00:00,24.454,822.56
2017-01-15 11:00:00,26.986,962.20001
2017-01-15 12:00:00,28.652,1045.21997
2017-01-15 13:00:00,29.406,1066.62
2017-01-15 14:00:00,29.148,1024.76001
2017-01-15 15:00:00,28.304,924.02002
2017-01-15 16:00:00,27.428,514.97998
2017-01-15 17:00:00,26.348,320.66
2017-01-15 18:00:00,25.026,361.66
2017-01-15 19:00:00,23.198,142.52
2017-01-15 20:00:00,21.03,0.0
2017-01-15 21:00:00,19.532,0.0
2017-01-15 22:00:00,18.352,0.0
2017-01-15 23:00:00,17.34,0.0
2017-01-16 00:00:00,16.806,0.0
2017-01-16 01:00:00,16.31,0.0
2017-01-16 02:00:00,15.83,0.0
2017-01-16 03:00:00,15.292,0.0
2017-01-16 04:00:00,15.01,0.0
2017-01-16 05:00:00,14.574,0.0
